job_level,performance_rating,job_role,age,job_satisfaction,company_size,employee_id,leadership_opportunities,company_reputation,marital_status,overtime,employee_recognition,attrition,education_level,gender,number_of_promotions,years_at_company,innovation_opportunities,work_life_balance,distance_from_home,remote_work,monthly_income,number_of_dependents,age_group,commute_distance,years_per_promotion,loyalty_bucket,income_tier,has_dependents
Mid,Average,Education,31,Medium,Medium,8410,0,Excellent,Married,0,Medium,0,Associate Degree,Male,2,19,0,Excellent,22,0,5390,0,26-35,Short,6.333333333333333,Average Promotion,Low Income,No Dependents
Mid,Low,Media,59,High,Medium,64756,0,Fair,Divorced,0,Low,0,Master’s Degree,Female,3,4,0,Poor,21,0,5534,3,56+,Short,1.0,Fast Promotion,Low Income,Has Dependents
Mid,Low,Healthcare,24,High,Medium,30257,0,Poor,Married,0,Low,0,Bachelor’s Degree,Female,0,10,0,Good,11,0,8159,3,18-25,Short,10.0,Average Promotion,Middle Income,Has Dependents
Mid,High,Education,36,High,Small,65791,0,Good,Single,0,Medium,0,High School,Female,1,7,0,Good,27,1,3989,2,36-45,Short,3.5,Fast Promotion,Low Income,Has Dependents
Senior,Average,Education,56,Very High,Medium,65026,0,Fair,Divorced,1,Medium,0,High School,Male,0,41,0,Fair,71,0,4821,0,56+,Long,41.0,Stagnant (No Promos),Low Income,No Dependents
Mid,Below Average,Technology,38,High,Medium,24368,0,Fair,Married,0,High,1,Bachelor’s Degree,Female,3,3,1,Fair,37,0,9977,0,36-45,Medium,0.75,Fast Promotion,High Income,No Dependents
Entry,High,Education,47,High,Small,64970,0,Good,Divorced,1,Medium,1,High School,Male,1,23,0,Fair,75,0,3681,3,46-55,Long,11.5,Average Promotion,Low Income,Has Dependents
Entry,High,Finance,48,Very High,Medium,36999,0,Excellent,Married,0,Low,0,Master’s Degree,Male,2,16,0,Excellent,5,0,11223,4,46-55,Short,5.333333333333333,Average Promotion,High Income,Has Dependents
Entry,High,Education,57,Medium,Medium,32714,0,Fair,Married,1,Medium,0,High School,Male,1,44,0,Good,39,0,3773,4,56+,Medium,22.0,Stagnant (No Promos),Low Income,Has Dependents
Entry,Average,Healthcare,24,High,Large,15944,0,Good,Single,1,Low,1,PhD,Female,1,1,1,Poor,57,0,7319,4,18-25,Medium,0.5,Fast Promotion,Middle Income,Has Dependents
Entry,Average,Education,30,High,Small,29972,0,Good,Single,0,Medium,1,High School,Female,1,12,0,Good,51,0,5443,1,26-35,Medium,6.0,Average Promotion,Low Income,Has Dependents
Mid,Low,Healthcare,29,Medium,Medium,9063,0,Poor,Single,0,Medium,1,Master’s Degree,Female,2,6,0,Poor,26,0,8950,0,26-35,Short,2.0,Fast Promotion,High Income,No Dependents
Entry,High,Technology,47,Very High,Small,21896,0,Good,Married,0,Low,1,Associate Degree,Female,1,38,0,Fair,78,0,9039,0,46-55,Long,19.0,Stagnant (No Promos),High Income,No Dependents
Mid,High,Healthcare,31,Medium,Small,28098,0,Good,Divorced,1,Medium,0,Associate Degree,Male,4,22,0,Fair,30,0,8090,2,26-35,Short,4.4,Fast Promotion,Middle Income,Has Dependents
Senior,Average,Technology,40,High,Large,22068,0,Good,Single,0,High,0,High School,Female,0,30,0,Good,98,0,6350,0,36-45,Long,30.0,Stagnant (No Promos),Middle Income,No Dependents
Entry,Average,Finance,40,High,Small,17696,0,Good,Single,0,High,1,High School,Female,0,4,0,Poor,48,1,5176,0,36-45,Medium,4.0,Fast Promotion,Low Income,No Dependents
Mid,Average,Technology,19,Medium,Small,55668,0,Fair,Single,1,High,1,High School,Female,2,9,0,Excellent,17,0,8242,3,18-25,Short,3.0,Fast Promotion,Middle Income,Has Dependents
Mid,Below Average,Finance,33,High,Small,19288,0,Good,Single,1,Low,0,High School,Female,1,1,0,Good,86,0,8733,0,26-35,Long,0.5,Fast Promotion,High Income,No Dependents
Senior,High,Media,49,High,Medium,17034,0,Good,Divorced,0,High,0,Bachelor’s Degree,Female,2,37,0,Fair,60,0,6252,4,46-55,Medium,12.333333333333334,Stagnant (No Promos),Middle Income,Has Dependents
Senior,Average,Healthcare,29,Medium,Small,9697,0,Good,Married,0,High,0,Bachelor’s Degree,Male,0,9,0,Fair,10,0,7538,0,26-35,Short,9.0,Average Promotion,Middle Income,No Dependents
Mid,Average,Finance,51,High,Small,17209,0,Good,Divorced,1,High,0,Master’s Degree,Female,2,41,0,Good,18,0,8733,3,46-55,Short,13.666666666666666,Stagnant (No Promos),High Income,Has Dependents
Mid,Average,Healthcare,57,Very High,Medium,45399,0,Fair,Married,0,Medium,0,PhD,Female,0,33,0,Good,95,0,8201,1,56+,Long,33.0,Stagnant (No Promos),Middle Income,Has Dependents
Entry,High,Finance,39,High,Medium,58984,0,Poor,Single,0,Low,1,Master’s Degree,Female,1,1,0,Excellent,23,0,8079,0,36-45,Short,0.5,Fast Promotion,Middle Income,No Dependents
Mid,Average,Media,36,High,Medium,24208,0,Good,Single,0,High,1,High School,Male,0,13,0,Fair,16,0,5874,1,36-45,Short,13.0,Stagnant (No Promos),Low Income,Has Dependents
